19:00:05 INFO  application.Application - Start browser CHROME
19:00:06 INFO  application.Application - Navigate to: https://contacts-app.tobbymarshall815.vercel.app/about
19:00:06 INFO  projectTests.TestBase - Start method: addContactTestBase
19:00:06 INFO  projectTests.TestBase - Test Start with Data -->[]
19:00:06 INFO  projectTests.TestBase - ==================================================================
19:00:06 INFO  application.MyListener - Start find element by: By.xpath: //a[.='LOGIN'].
19:00:06 INFO  application.MyListener - The element was By.xpath: //a[.='LOGIN']found by.
19:00:06 INFO  application.MyListener - Start find element by: By.xpath: //a[.='LOGIN'].
19:00:06 INFO  application.MyListener - The element was By.xpath: //a[.='LOGIN']found by.
19:00:06 INFO  application.MyListener - Start find element by: By.xpath: //input[1].
19:00:06 INFO  application.MyListener - The element was By.xpath: //input[1]found by.
19:00:06 INFO  application.MyListener - Start find element by: By.xpath: //input[2].
19:00:06 INFO  application.MyListener - The element was By.xpath: //input[2]found by.
19:00:06 INFO  application.HelperBase - Login data:
Email: sam@gmail.com
Password: Sam1234$
19:00:06 INFO  application.MyListener - Start find element by: By.xpath: //button[.=' Login'].
19:00:06 INFO  application.MyListener - The element was By.xpath: //button[.=' Login']found by.
19:00:07 INFO  application.MyListener - Start find element by: By.xpath: //a[.='ADD'].
19:00:07 INFO  application.MyListener - The element was By.xpath: //a[.='ADD']found by.
19:00:07 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='Name'].
19:00:07 INFO  application.MyListener - The element was By.cssSelector: [placeholder='Name']found by.
19:00:07 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='Last Name'].
19:00:07 INFO  application.MyListener - The element was By.cssSelector: [placeholder='Last Name']found by.
19:00:07 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='Phone'].
19:00:07 INFO  application.MyListener - The element was By.cssSelector: [placeholder='Phone']found by.
19:00:07 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='email'].
19:00:07 INFO  application.MyListener - The element was By.cssSelector: [placeholder='email']found by.
19:00:08 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='Address'].
19:00:08 INFO  application.MyListener - The element was By.cssSelector: [placeholder='Address']found by.
19:00:08 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='description'].
19:00:08 INFO  application.MyListener - The element was By.cssSelector: [placeholder='description']found by.
19:00:08 INFO  application.MyListener - Start find element by: By.xpath: //button/b.
19:00:08 INFO  application.MyListener - The element was By.xpath: //button/bfound by.
19:00:08 INFO  application.MyListener - Start find element by: By.xpath: //h3.
19:00:08 INFO  application.MyListener - The element was By.xpath: //h3found by.
19:00:08 INFO  projectTests.TestBase - End of method: addContactTestBase
19:00:08 INFO  projectTests.TestBase - Start method: addContactTestBase
19:00:08 INFO  projectTests.TestBase - Test Start with Data -->[]
19:00:08 INFO  projectTests.TestBase - ==================================================================
19:00:08 INFO  application.MyListener - Start find element by: By.xpath: //a[.='LOGIN'].
19:00:18 INFO  application.MyListener - The element was By.xpath: //a[.='LOGIN']found by.
19:00:18 INFO  application.MyListener - Start find element by: By.xpath: //a[.='ADD'].
19:00:18 INFO  application.MyListener - The element was By.xpath: //a[.='ADD']found by.
19:00:18 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='Name'].
19:00:18 INFO  application.MyListener - The element was By.cssSelector: [placeholder='Name']found by.
19:00:18 INFO  application.MyListener - Start find element by: By.cssSelector: [placeholder='Last Name'].
